user_id,food_id,rating,timestamp
454,495,1.0,1788944155.601255
997,488,1.0,1788944155.601746
392,298,1.0,1788944157.644462
901,496,1.0,1788944145.699629
922,214,1.0,1788944163.187168
641,428,1.0,1788944135.796656
110,474,1.0,1788944148.853674
102,128,1.0,1788944148.855652
732,96,1.0,1788944166.5253
931,282,1.0,1788944160.690209
406,123,1.0,1788944166.514834
522,178,1.0,1788944166.553241
764,1,1.0,1788944166.55489
394,405,1.0,1788944154.713099
437,271,1.0,1788944135.840506
918,335,1.0,1788944135.846761
47,24,1.0,1788944157.649084
218,325,1.0,1788944135.785675
684,76,1.0,1788944171.374354
195,488,1.0,1788944171.375324
33,300,1.0,1788944135.812139
610,427,1.0,1788944135.812986
890,210,1.0,1788944135.797376
739,17,1.0,1788944171.387642
330,245,1.0,1788944171.403542
105,271,1.0,1788944171.387167
605,428,1.0,1788944171.40529
450,192,1.0,1788944171.370788
633,372,1.0,1788944155.599708
710,426,1.0,1788944152.849937
707,397,1.0,1788944171.348752
121,405,1.0,1788944171.349302
689,213,1.0,1788944163.166838
205,124,1.0,1788944163.167332
218,375,1.0,1788944153.941428
786,467,1.0,1788944163.198281
987,53,1.0,1788944163.200081
141,78,1.0,1788944145.679732
534,126,1.0,1788944145.688884
253,437,1.0,1788944171.350755
92,286,1.0,1788944171.352382
412,213,1.0,1788944135.85626
832,128,1.0,1788944135.860936
363,400,1.0,1788944135.862496
183,192,1.0,1788944135.86339
666,473,1.0,1788944152.831778
685,62,1.0,1788944152.833396
169,260,1.0,1788944152.834513
825,280,1.0,1788944152.835495
428,408,1.0,1788944171.343215
203,182,1.0,1788944171.344051
888,268,1.0,1788944171.344665
482,267,1.0,1788944171.345228
481,366,1.0,1788944135.877735
402,414,1.0,1788944135.881148
89,65,1.0,1788944135.881862
818,470,1.0,1788944152.839362
611,24,1.0,1788944152.843035
198,148,1.0,1788944152.84523
676,149,1.0,1788944152.816827
99,352,1.0,1788944152.819033
798,470,1.0,1788944156.754515
150,247,1.0,1788944145.729016
863,497,1.0,1788944145.731104
836,108,1.0,1788944145.732294
860,228,1.0,1788944152.820069
897,128,1.0,1788944152.82255
169,227,1.0,1788944171.330085
958,154,1.0,1788944171.332725
682,309,1.0,1788944171.334511
251,406,1.0,1788944152.878828
382,346,1.0,1788944157.671278
29,390,1.0,1788944135.886076
535,499,1.0,1788944135.887521
840,256,1.0,1788944155.568947
255,237,1.0,1788944155.571568
772,27,1.0,1788944155.578379
695,254,1.0,1788944155.578898
16,170,1.0,1788944135.90148
761,70,1.0,1788944152.811596
762,411,1.0,1788944152.812215
746,119,1.0,1788944152.814532
565,26,1.0,1788944152.815717
982,429,1.0,1788944152.804376
886,469,1.0,1788944135.905151
623,482,1.0,1788944171.317529
990,131,1.0,1788944171.318495
623,396,1.0,1788944171.319004
741,110,1.0,1788944135.916462
832,69,1.0,1788944135.917765
63,266,1.0,1788944145.667428
978,225,1.0,1788944145.672212
478,3,1.0,1788944145.650194
314,217,1.0,1788944145.65078
517,207,1.0,1788944145.659845
524,233,1.0,1788944145.662557
733,347,1.0,1788944145.664495
39,131,1.0,1788944163.23241
378,126,1.0,1788944145.63065
790,175,1.0,1788944171.288645
345,370,1.0,1788944171.293997
433,442,1.0,1788944171.295572
17,489,1.0,1788944135.934584
562,205,1.0,1788944157.675376
721,434,1.0,1788944157.677139
497,175,1.0,1788944135.922693
476,51,1.0,1788944163.232939
540,129,1.0,1788944163.233431
565,14,1.0,1788944163.235508
648,135,1.0,1788944145.73629
705,177,1.0,1788944145.738802
413,272,1.0,1788944145.744362
392,469,1.0,1788944135.929027
768,289,1.0,1788944152.802166
687,347,1.0,1788944171.28106
299,452,1.0,1788944135.944778
489,203,1.0,1788944157.629856
142,198,1.0,1788944152.872436
58,192,1.0,1788944135.932665
149,329,1.0,1788944171.300894
80,285,1.0,1788944171.305032
68,438,1.0,1788944163.243697
859,124,1.0,1788944163.244952
255,297,1.0,1788944163.246174
77,71,1.0,1788944163.150746
899,399,1.0,1788944145.746169
781,142,1.0,1788944145.750777
465,0,1.0,1788944145.754272
506,494,1.0,1788944145.626732
459,419,1.0,1788944135.963598
452,193,1.0,1788944152.76775
61,269,1.0,1788944157.68164
151,18,1.0,1788944157.685906
435,270,1.0,1788944145.635562
739,497,1.0,1788944145.639436
108,324,1.0,1788944163.160082
186,386,1.0,1788944163.163402
425,180,1.0,1788944156.745666
226,73,1.0,1788944156.746591
520,239,1.0,1788944153.953079
194,131,1.0,1788944153.953617
374,63,1.0,1788944153.955202
47,209,1.0,1788944152.796619
805,445,1.0,1788944135.94204
125,378,1.0,1788944145.600497
45,463,1.0,1788944155.558278
113,150,1.0,1788944155.605249
91,170,1.0,1788944155.610767
74,333,1.0,1788944155.614391
364,266,1.0,1788944152.753639
105,81,1.0,1788944171.27125
806,37,1.0,1788944171.274215
151,46,1.0,1788944135.959458
30,469,1.0,1788944145.621996
876,91,1.0,1788944145.622465
610,140,1.0,1788944163.2697
347,416,1.0,1788944163.13595
886,282,1.0,1788944163.136888
593,417,1.0,1788944163.137323
212,431,1.0,1788944152.778146
577,9,1.0,1788944152.77922
492,309,1.0,1788944152.783274
778,203,1.0,1788944152.784327
38,161,1.0,1788944135.970359
998,19,1.0,1788944171.244615
150,421,1.0,1788944163.125105
463,31,1.0,1788944145.618794
214,427,1.0,1788944145.620916
741,25,1.0,1788944145.621478
841,63,1.0,1788944163.307458
723,264,1.0,1788944145.588805
593,297,1.0,1788944145.594563
256,366,1.0,1788944145.599906
907,142,1.0,1788944163.287476
890,270,1.0,1788944157.693351
199,431,1.0,1788944157.694311
830,228,1.0,1788944152.756757
781,213,1.0,1788944145.60526
913,171,1.0,1788944163.285291
243,76,1.0,1788944163.135478
769,204,1.0,1788944163.130993
168,102,1.0,1788944163.131496
461,295,1.0,1788944145.778753
787,363,1.0,1788944145.779952
554,4,1.0,1788944155.616055
539,409,1.0,1788944155.617053
277,430,1.0,1788944155.563015
102,228,1.0,1788944135.971958
173,420,1.0,1788944135.97839
356,462,1.0,1788944152.722359
857,423,1.0,1788944152.726656
322,370,1.0,1788944135.979769
165,124,1.0,1788944152.888327
153,484,1.0,1788944157.701513
692,157,1.0,1788944157.703551
30,4,1.0,1788944163.117927
970,494,1.0,1788944145.586309
937,344,1.0,1788944163.299064
504,23,1.0,1788944145.568827
275,489,1.0,1788944163.310613
229,270,1.0,1788944135.982147
86,323,1.0,1788944171.230252
426,203,1.0,1788944171.233717
437,85,1.0,1788944171.2399
735,51,1.0,1788944135.984756
